business_size_category,gender_category,year,total_non_regular,probationary,casual,contractual,seasonal,apprentices_learners
all_sizes,both_sexes,2014,1335673,318705,207895,672279,102070,34722
small_size,both_sexes,2014,247018,67553,52338,101708,20490,4929
medium_size,both_sexes,2014,165944,41696,29309,81333,10973,2633
large_size,both_sexes,2014,922711,209457,126248,489239,70607,27161
all_sizes,female,2014,0,0,0,0,0,0
small_size,female,2014,0,0,0,0,0,0
medium_size,female,2014,0,0,0,0,0,0
large_size,female,2014,0,0,0,0,0,0
all_sizes,male,2014,0,0,0,0,0,0
small_size,male,2014,0,0,0,0,0,0
medium_size,male,2014,0,0,0,0,0,0
large_size,male,2014,0,0,0,0,0,0
all_sizes,both_sexes,2016,1190697,356456,159277,572034,80660,22270
small_size,both_sexes,2016,207245,71495,37682,75748,19694,2626
medium_size,both_sexes,2016,141026,45698,20659,60800,12419,1451
large_size,both_sexes,2016,842425,239263,100936,435486,48547,18193
all_sizes,female,2016,0,0,0,0,0,0
small_size,female,2016,0,0,0,0,0,0
medium_size,female,2016,0,0,0,0,0,0
large_size,female,2016,0,0,0,0,0,0
all_sizes,male,2016,0,0,0,0,0,0
small_size,male,2016,0,0,0,0,0,0
medium_size,male,2016,0,0,0,0,0,0
large_size,male,2016,0,0,0,0,0,0
all_sizes,both_sexes,2018,1068429,481278,148439,356825,67756,14131
small_size,both_sexes,2018,152480,81352,20139,38300,10962,1728
medium_size,both_sexes,2018,111090,56157,13224,33401,7370,939
large_size,both_sexes,2018,804859,343770,115076,285124,49424,11465
all_sizes,female,2018,0,0,0,0,0,0
small_size,female,2018,0,0,0,0,0,0
medium_size,female,2018,0,0,0,0,0,0
large_size,female,2018,0,0,0,0,0,0
all_sizes,male,2018,0,0,0,0,0,0
small_size,male,2018,0,0,0,0,0,0
medium_size,male,2018,0,0,0,0,0,0
large_size,male,2018,0,0,0,0,0,0
all_sizes,both_sexes,2020,907801,408882,128129,295864,64725,10201
small_size,both_sexes,2020,123231,61318,28088,22170,10301,1354
medium_size,both_sexes,2020,101110,37579,14155,40195,8500,681
large_size,both_sexes,2020,683459,309985,85886,233499,45923,8165
all_sizes,female,2020,330780,198066,36627,71129,20265,4693
small_size,female,2020,50432,29256,10523,6559,3557,538
medium_size,female,2020,30736,16783,4001,6254,3571,127
large_size,female,2020,249611,152027,22104,58316,13137,4028
all_sizes,male,2020,577021,210816,91502,224735,44460,5508
small_size,male,2020,72799,32062,17565,15611,6744,816
medium_size,male,2020,70374,20796,10154,33941,4929,554
large_size,male,2020,433848,157958,63782,175183,32786,4137
all_sizes,both_sexes,2022,990443,489499,154364,296258,40688,9635
small_size,both_sexes,2022,163535,87182,28683,37016,8456,2197
medium_size,both_sexes,2022,105656,50873,21347,26666,5923,847
large_size,both_sexes,2022,721253,351443,104334,232577,26308,6591
all_sizes,female,2022,392007,240401,56955,76050,14219,4382
small_size,female,2022,65303,41379,10160,10984,2045,735
medium_size,female,2022,37731,21926,7945,5712,1765,382
large_size,female,2022,288973,177096,38850,59354,10409,3264
all_sizes,male,2022,598436,249098,97409,220208,26469,5253
small_size,male,2022,98232,45803,18523,26032,6411,1462
medium_size,male,2022,67925,28947,13402,20954,4158,465
large_size,male,2022,432280,174347,65484,173223,15899,3327
